Right cycle,Right start,Right end,Stance right ,percent_stance_right,Initial swing right,Percent initial right,Mid swing right,Percent mid swing right ,Terminal right,Percent termial right
1,42,119,42,0.41025641025641024,74,0.08974358974358974,81,0.38461538461538464,111,0.11538461538461539
2,120,197,120,0.3717948717948718,149,0.1282051282051282,159,0.38461538461538464,189,0.11538461538461539
3,198,278,198,0.38271604938271603,229,0.12345679012345678,239,0.35802469135802467,268,0.13580246913580246
4,279,360,279,0.36585365853658536,309,0.13414634146341464,320,0.35365853658536583,349,0.14634146341463414
5,361,441,361,0.37037037037037035,391,0.13580246913580246,402,0.35802469135802467,431,0.13580246913580246
6,442,524,442,0.3614457831325301,472,0.14457831325301204,484,0.3614457831325301,514,0.13253012048192772
7,525,607,525,0.37349397590361444,556,0.12048192771084337,566,0.3614457831325301,596,0.14457831325301204
8,608,689,608,0.35365853658536583,637,0.14634146341463414,649,0.3780487804878049,680,0.12195121951219512
9,690,770,690,0.35802469135802467,719,0.14814814814814814,731,0.35802469135802467,760,0.13580246913580246
10,771,852,771,0.34146341463414637,799,0.17073170731707318,813,0.34146341463414637,841,0.14634146341463414
11,853,935,853,0.3614457831325301,883,0.14457831325301204,895,0.3614457831325301,925,0.13253012048192772
12,936,1021,936,0.3488372093023256,966,0.1511627906976744,979,0.3372093023255814,1008,0.16279069767441862
13,1022,1105,1022,0.34523809523809523,1051,0.15476190476190477,1064,0.3333333333333333,1092,0.16666666666666666
14,1106,1189,1106,0.35714285714285715,1136,0.15476190476190477,1149,0.35714285714285715,1179,0.13095238095238096
15,1190,1273,1190,0.35714285714285715,1220,0.14285714285714285,1232,0.34523809523809523,1261,0.15476190476190477
16,1274,1359,1274,0.32558139534883723,1302,0.1744186046511628,1317,0.313953488372093,1344,0.18604651162790697
17,1360,1442,1360,0.3493975903614458,1389,0.14457831325301204,1401,0.3614457831325301,1431,0.14457831325301204
18,1443,1527,1443,0.3411764705882353,1472,0.16470588235294117,1486,0.32941176470588235,1514,0.16470588235294117
19,1528,1611,1528,0.35714285714285715,1558,0.15476190476190477,1571,0.3333333333333333,1599,0.15476190476190477
20,1612,1697,1612,0.3372093023255814,1641,0.1744186046511628,1656,0.3372093023255814,1685,0.1511627906976744
21,1698,1782,1698,0.32941176470588235,1726,0.16470588235294117,1740,0.3411764705882353,1769,0.16470588235294117
22,1783,1865,1783,0.3493975903614458,1812,0.1566265060240964,1825,0.3373493975903614,1853,0.1566265060240964
23,1866,1950,1866,0.35294117647058826,1896,0.15294117647058825,1909,0.3411764705882353,1938,0.15294117647058825
24,1951,2032,1951,0.35365853658536583,1980,0.13414634146341464,1991,0.35365853658536583,2020,0.15853658536585366
25,2033,2118,2033,0.3372093023255814,2062,0.16279069767441862,2076,0.32558139534883723,2104,0.1744186046511628
26,2119,2201,2119,0.3493975903614458,2148,0.14457831325301204,2160,0.3614457831325301,2190,0.14457831325301204
27,2202,2285,2202,0.35714285714285715,2232,0.14285714285714285,2244,0.34523809523809523,2273,0.15476190476190477
28,2286,2372,2286,0.3448275862068966,2316,0.14942528735632185,2329,0.3333333333333333,2358,0.1724137931034483
