
Model Outputs
100
,,Hoang Trung Hieu lower pig:LAbsAnkleAngle,,,Hoang Trung Hieu lower pig:LAnkleAngles,,,Hoang Trung Hieu lower pig:LAnkleForce,,,Hoang Trung Hieu lower pig:LAnkleMoment,,,Hoang Trung Hieu lower pig:LAnklePower,,,Hoang Trung Hieu lower pig:LFE,,,,,,,,,Hoang Trung Hieu lower pig:LFO,,,,,,,,,Hoang Trung Hieu lower pig:LFootProgressAngles,,,Hoang Trung Hieu lower pig:LHipAngles,,,Hoang Trung Hieu lower pig:LHipForce,,,Hoang Trung Hieu lower pig:LHipMoment,,,Hoang Trung Hieu lower pig:LHipPower,,,Hoang Trung Hieu lower pig:LKneeAngles,,,Hoang Trung Hieu lower pig:LKneeForce,,,Hoang Trung Hieu lower pig:LKneeMoment,,,Hoang Trung Hieu lower pig:LKneePower,,,Hoang Trung Hieu lower pig:LPelvisAngles,,,Hoang Trung Hieu lower pig:LTI,,,,,,,,,Hoang Trung Hieu lower pig:LTO,,,,,,,,,Hoang Trung Hieu lower pig:PEL,,,,,,,,,Hoang Trung Hieu lower pig:RAbsAnkleAngle,,,Hoang Trung Hieu lower pig:RAnkleAngles,,,Hoang Trung Hieu lower pig:RAnkleForce,,,Hoang Trung Hieu lower pig:RAnkleMoment,,,Hoang Trung Hieu lower pig:RAnklePower,,,Hoang Trung Hieu lower pig:RFE,,,,,,,,,Hoang Trung Hieu lower pig:RFO,,,,,,,,,Hoang Trung Hieu lower pig:RFootProgressAngles,,,Hoang Trung Hieu lower pig:RHipAngles,,,Hoang Trung Hieu lower pig:RHipForce,,,Hoang Trung Hieu lower pig:RHipMoment,,,Hoang Trung Hieu lower pig:RHipPower,,,Hoang Trung Hieu lower pig:RKneeAngles,,,Hoang Trung Hieu lower pig:RKneeForce,,,Hoang Trung Hieu lower pig:RKneeMoment,,,Hoang Trung Hieu lower pig:RKneePower,,,Hoang Trung Hieu lower pig:RPelvisAngles,,,Hoang Trung Hieu lower pig:RTI,,,,,,,,,Hoang Trung Hieu lower pig:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
16,0,-3.99616,0,0,-3.99639,1.37895,-0.603029,,,,,,,,,,5.78854,-24.5375,-26.4441,1373.42,611.002,530.987,412.818,412.818,412.818,31.4072,-52.8775,20.4633,1242.49,673.82,129.194,166.682,166.682,166.682,-53.4132,4.14952,-35.9062,47.2448,3.7153,20.7957,,,,,,,,,,51.2928,23.7667,-52.0978,,,,,,,,,,21.9726,6.92016,1.45909,7.31531,29.7617,35.3469,1177.16,596.282,192.144,367.856,367.856,367.856,31.4072,-52.8774,20.4632,1278.63,706.404,102.371,55.5606,55.5606,55.5606,6.55561,22.0327,-2.76638,1194.73,548.752,898.718,126.456,126.456,126.456,-22.2936,0,0,-22.6366,2.84272,-9.72579,,,,,,,,,,4.13208,20.8657,14.5783,1043.16,495.855,512.093,407.796,407.796,407.796,-14.3818,-28.7117,-14.3623,854.431,513.49,98.4512,160.412,160.412,160.412,-27.4144,10.5139,-17.2411,0.94758,-5.51304,16.5691,,,,,,,,,,12.2964,10.8987,-27.3798,,,,,,,,,,21.9726,-6.92016,-1.45909,4.5784,36.6012,-14.5517,816.289,555.234,198.423,367.643,367.643,367.643,-14.3818,-28.7117,-14.3623,877.944,497.642,53.1182,53.4706,53.4706,53.4706
17,0,-5.37514,0,0,-5.38504,1.78641,-3.46959,,,,,,,,,,4.64001,-24.3133,-23.4792,1371.26,608.789,535.335,411.605,411.605,411.605,29.412,-56.1337,21.6437,1274.57,664.648,118.256,166.682,166.682,166.682,-56.4148,5.11619,-34.688,46.9713,4.10554,18.457,,,,,,,,,,46.3385,20.3068,-48.269,,,,,,,,,,22.1348,6.34437,0.963914,4.20864,25.1804,31.8594,1204.67,589.202,178.8,370.021,370.021,370.021,29.4121,-56.1338,21.6437,1312.63,696.268,92.9834,55.5606,55.5606,55.5607,6.07927,22.1649,-2.17644,1196.49,549.302,903.582,126.456,126.456,126.456,-22.2159,0,0,-22.7499,3.21352,-12.1145,,,,,,,,,,4.06475,21.2634,14.6006,1042.92,495.468,517.867,408.288,408.288,408.288,-16.5388,-26.3149,-13.9057,837.881,509.578,110.923,160.412,160.412,160.412,-24.946,10.0091,-19.0308,0.668734,-5.07061,16.0487,,,,,,,,,,13.8229,11.3783,-26.7005,,,,,,,,,,22.1348,-6.34437,-0.963914,4.49246,38.5235,-14.0618,804.6,554.723,211.153,368.911,368.911,368.911,-16.5388,-26.315,-13.9057,859.201,492.142,65.091,53.4706,53.4706,53.4706
18,0,-6.55811,0,0,-6.57601,1.89366,-4.22176,,,,,,,,,,3.6144,-23.9031,-20.7566,1368.48,607.135,538.171,410.441,410.441,410.441,26.91,-59.6555,22.3258,1306.4,656.793,108.556,166.682,166.682,166.682,-59.7428,5.84355,-32.8932,46.4766,4.41521,16.3575,,,,,,,,,,41.5776,17.0431,-45.4492,,,,,,,,,,22.2161,5.78637,0.509314,2.02287,20.6629,29.6654,1231.1,584.383,166.258,373.129,373.129,373.129,26.91,-59.6556,22.3257,1346.7,686.966,85.0484,55.5607,55.5606,55.5607,5.61505,22.2227,-1.62432,1198.44,549.879,907.32,126.456,126.456,126.456,-22.0766,0,0,-22.8064,3.536,-14.1576,,,,,,,,,,4.0379,21.5249,14.9649,1043.7,495.065,522.252,408.707,408.707,408.707,-18.3644,-23.8726,-13.2895,822.23,505.962,123.871,160.412,160.412,160.412,-22.4664,9.48997,-20.4982,0.449526,-4.64831,15.9198,,,,,,,,,,15.5893,12.0052,-26.3017,,,,,,,,,,22.2161,-5.78637,-0.509314,4.38467,40.6209,-13.5554,793.714,553.882,224.281,369.366,369.366,369.366,-18.3644,-23.8726,-13.2894,841.37,487.238,77.5873,53.4706,53.4706,53.4706
19,0,-8.65248,0,0,-8.66401,1.71238,-2.94963,,,,,,,,,,2.72155,-23.3127,-18.3105,1365.05,606.01,539.471,409.36,409.36,409.36,24.0225,-62.5701,23.151,1338.75,650.768,99.6814,166.682,166.682,166.682,-62.2948,7.19046,-30.9316,45.761,4.64486,14.5313,,,,,,,,,,36.641,13.9444,-44.3338,,,,,,,,,,22.2193,5.24899,0.0925977,0.544636,16.0058,29.31,1258.78,581.864,155.365,375.267,375.267,375.267,24.0225,-62.5702,23.151,1380.94,679.327,77.5237,55.5606,55.5606,55.5607,5.1651,22.208,-1.10916,1200.56,550.487,909.934,126.456,126.456,126.456,-21.89,0,0,-22.8065,3.81254,-15.8808,,,,,,,,,,4.05261,21.6541,15.6803,1045.48,494.63,525.256,409.04,409.04,409.04,-19.8807,-21.3755,-12.5309,807.467,502.577,137.253,160.412,160.412,160.412,-19.9617,8.95057,-21.6687,0.288082,-4.25306,16.1871,,,,,,,,,,17.5922,12.8174,-26.1737,,,,,,,,,,22.2193,-5.24899,-0.0925977,4.25622,42.9033,-13.0325,783.646,552.709,237.807,369.137,369.137,369.137,-19.8807,-21.3754,-12.531,824.432,482.833,90.5466,53.4706,53.4706,53.4706
20,0,-11.0276,0,0,-11.0276,1.3057,-0.0869822,-0.264742,0.175485,-0.504954,-14.823,-7.87063e-15,18.3634,0,0,-0.153082,1.96593,-22.5558,-16.1668,1360.99,605.369,539.252,408.389,408.389,408.389,20.5028,-65.2576,23.8002,1370.35,645.2,92.4637,166.682,166.682,166.682,-64.5824,8.84811,-28.4613,44.8339,4.79796,13.0021,-0.956491,0.0314085,1.04619,794.207,-78.157,-14.7564,0,0,1.2823,31.7218,11.2031,-44.1693,-1.04956,0.688588,0.673999,-303.165,212.561,17.6837,0,0,-3.28048,22.1479,4.73527,-0.289767,-0.594314,11.5302,30.0386,1285.58,580.839,146.461,376.715,376.715,376.715,20.5028,-65.2576,23.8001,1414.47,671.678,71.4986,55.5607,55.5606,55.5606,4.73208,22.1232,-0.629212,1202.85,551.129,911.422,126.456,126.456,126.456,-21.6677,0,0,-22.7524,4.04637,-17.315,-0.188453,-0.0357822,-0.136868,-13.1683,-6.1216e-15,-2.53459,0,0,-0.00413918,4.10421,21.6557,16.7455,1048.23,494.139,526.88,409.287,409.287,409.287,-21.1156,-18.8116,-11.6501,793.594,499.348,151.039,160.412,160.412,160.412,-17.4153,8.39023,-22.5739,0.182351,-3.89328,16.8439,0.846494,-0.368587,0.473884,-288.978,148.9,-9.4375,0,0,-0.0657521,19.8227,13.8592,-26.2919,0.141383,0.0227501,0.657712,-37.4851,7.97459,-4.67982,0,0,0.158449,22.1479,-4.73527,0.289767,4.10921,45.3767,-12.4959,774.436,551.203,251.715,368.347,368.347,368.347,-21.1155,-18.8116,-11.6501,808.371,478.822,103.928,53.4706,53.4706,53.4706
21,0,-13.1916,0,0,-13.2175,0.788645,3.55142,-0.18675,0.177087,-0.375479,-4.541,0,27.9934,0,0,-0.192692,1.34592,-21.6568,-14.3428,1356.38,605.156,537.576,407.545,407.545,407.545,16.577,-67.873,24.2499,1399.58,639.186,87.2973,166.682,166.682,166.682,-66.8622,10.6303,-25.669,43.7168,4.88186,11.7839,-0.613871,-0.00625796,0.736298,603.419,-88.482,9.80171,0,0,1.22972,26.9575,9.00242,-44.3991,-0.720472,0.379927,0.59599,-274.778,175.49,27.2582,0,0,-2.85525,22.0057,4.24866,-0.642415,-1.67945,7.45888,31.2243,1309.91,580.111,139.385,377.674,377.674,377.674,16.577,-67.873,24.2498,1445.63,663.253,67.6197,55.5606,55.5606,55.5606,4.3195,21.9715,-0.181653,1205.29,551.809,911.786,126.456,126.456,126.456,-21.4186,0,0,-22.6485,4.24223,-18.4992,-0.193184,-0.0480002,-0.132886,-13.3207,5.24708e-15,0.163301,0,0,0.00243148,4.1809,21.5359,18.1416,1051.91,493.555,527.117,409.463,409.463,409.463,-22.1063,-16.1674,-10.6696,780.636,496.192,165.205,160.412,160.412,160.412,-14.808,7.81369,-23.2553,0.130531,-3.5792,17.8638,0.824127,-0.425538,0.445022,-285.31,178.906,-9.5874,0,0,-0.0325175,22.267,15.1752,-26.6103,0.142258,0.000435775,0.671139,-34.848,13.0235,-2.38365,0,0,0.162912,22.0057,-4.24866,0.642415,3.94636,48.0422,-11.9532,766.163,549.363,265.977,367.102,367.102,367.102,-22.1063,-16.1674,-10.6696,793.192,475.08,117.71,53.4706,53.4707,53.4706
22,0,-15.4283,0,0,-15.5502,0.281637,7.09141,-0.0869148,0.26697,-0.532854,5.83983,-5.24708e-15,42.7033,0,0,-0.223102,0.852623,-20.6518,-12.8457,1351.36,605.293,534.56,406.827,406.827,406.827,12.8962,-70.016,25.1877,1425.86,633.377,83.3287,166.682,166.682,166.682,-68.6906,12.8566,-23.406,42.4443,4.90915,10.879,-0.999332,-0.0804787,0.891908,934.684,-153.737,16.4332,0,0,2.13215,22.2412,7.36873,-45.2467,-1.05527,0.673404,0.575284,-426.737,285.706,40.981,0,0,-4.2155,21.7976,3.79305,-0.971444,-2.88613,3.71187,32.9699,1332.42,578.87,133.724,378.152,378.152,378.152,12.8961,-70.016,25.1877,1473.36,655.448,64.7992,55.5607,55.5607,55.5606,3.93174,21.757,0.237844,1207.87,552.531,911.029,126.456,126.456,126.456,-21.1478,0,0,-22.4999,4.40657,-19.4803,-0.203843,-0.0589758,-0.127115,-14.1258,1.31177e-15,2.95056,0,0,0.00728285,4.26388,21.3021,19.827,1056.47,492.836,525.956,409.594,409.594,409.594,-22.9012,-13.4306,-9.61441,768.66,493.014,179.734,160.412,160.412,160.412,-12.121,7.23036,-23.7653,0.131685,-3.32219,19.1963,0.80724,-0.486846,0.412008,-290.362,212.135,-9.82997,0,0,0.0108625,24.9104,16.8004,-27.058,0.153536,-0.0182246,0.692339,-27.3601,17.3731,-0.111109,0,0,0.137251,21.7976,-3.79305,0.971444,3.77,50.8949,-11.4167,758.948,547.193,280.541,365.487,365.487,365.487,-22.9012,-13.4306,-9.6144,778.935,471.466,131.889,53.4706,53.4706,53.4706
23,0,-17.7914,0,0,-18.0816,-0.156916,10.1107,-0.0184487,0.359027,-0.656321,11.9896,0,56.7417,0,0,-0.20044,0.469835,-19.5865,-11.6714,1346.14,605.689,530.359,406.216,406.215,406.215,9.61451,-71.4578,26.6299,1447.92,628.083,79.9034,166.682,166.682,166.682,-69.8428,15.4575,-21.759,41.0633,4.89803,10.2783,-1.17728,-0.12737,1.06641,1138.46,-179.575,17.2115,0,0,2.75232,17.7882,6.2477,-46.4893,-1.24387,0.873375,0.690261,-525.061,392.529,53.2463,0,0,-4.84096,21.5296,3.3726,-1.28426,-4.19222,0.43705,34.9799,1351.96,577.182,129.346,378.066,378.066,378.066,9.61453,-71.4578,26.6298,1496.36,648.679,62.1215,55.5606,55.5606,55.5606,3.57384,21.4846,0.635125,1210.53,553.3,909.158,126.456,126.456,126.456,-20.8551,0,0,-22.3092,4.5471,-20.3097,-0.220279,-0.0682909,-0.120433,-15.6397,-2.62354e-15,5.67164,0,0,0.011103,4.32856,20.9616,21.7356,1061.84,491.942,523.383,409.715,409.715,409.715,-23.5585,-10.5936,-8.50992,757.779,489.715,194.611,160.412,160.412,160.412,-9.33946,6.65334,-24.1659,0.187084,-3.13355,20.7649,0.795527,-0.544106,0.381205,-303.289,245.183,-10.1805,0,0,0.0694607,27.7443,18.75,-27.5409,0.171318,-0.0299923,0.722082,-15.9836,20.6502,1.97008,0,0,0.0797632,21.5296,-3.3726,1.28426,3.57991,53.9254,-10.9043,752.95,544.703,295.332,363.561,363.561,363.561,-23.5585,-10.5936,-8.50989,765.696,467.825,146.473,53.4706,53.4706,53.4706
24,0,-20.3815,0,0,-20.8764,-0.469164,12.2271,0.083259,0.452434,-0.718868,15.5115,-3.49806e-15,68.0955,0,0,-0.129616,0.175056,-18.5138,-10.8041,1340.97,606.231,525.155,405.678,405.678,405.678,6.92699,-71.9181,28.5776,1464.4,623.602,76.4178,166.682,166.682,166.682,-70.0136,18.357,-20.7943,39.6291,4.87185,9.96189,-1.41205,-0.154898,0.924739,1347.43,-186.063,13.4054,0,0,3.30212,13.8377,5.56435,-47.9254,-1.36098,1.10455,0.504552,-598.638,500.982,62.2916,0,0,-4.84847,21.2084,2.99138,-1.58948,-5.51552,-2.21282,37.0043,1367.4,575.153,126.289,376.948,376.947,376.948,6.927,-71.9181,28.5776,1513.21,643.327,58.6643,55.5607,55.5607,55.5606,3.25099,21.1607,1.01731,1213.25,554.118,906.189,126.456,126.456,126.456,-20.5337,0,0,-22.0745,4.67193,-21.0391,-0.241355,-0.0754516,-0.113413,-17.8135,1.74903e-15,8.11522,0,0,0.0146814,4.34772,20.5217,23.7801,1067.98,490.844,519.391,409.864,409.864,409.864,-24.1425,-7.65732,-7.3793,748.158,486.195,209.808,160.412,160.412,160.412,-6.45719,6.09688,-24.525,0.300259,-3.02272,22.4713,0.788553,-0.588263,0.361066,-322.92,274.728,-10.5671,0,0,0.144989,30.7738,21.0097,-27.9468,0.190967,-0.0322706,0.760467,-1.96965,22.544,3.66625,0,0,-0.00600487,21.2084,-2.99138,1.58948,3.37145,57.1194,-10.4377,748.355,541.911,310.244,361.368,361.368,361.368,-24.1425,-7.65733,-7.37933,753.629,464,161.471,53.4706,53.4706,53.4706
