type,begin_time,frequency,count,created with version,exported with version,project,last_name,first_name,born,sex,measurement_date,record_name
record,0,100,8560,Noraxon MR3 3.20.18,3.20.18,operator test,Hoang Trung Hieu,,,male,2023-07-21T09:30:08.334Z,running04-09
,,,,,,,,,,,,
time,Activity,Marker,LT Max Pressure (N/cm²),RT Max Pressure (N/cm²),,,,,Trials in Nexus,4,2023-07-21T09:30:22.726Z,
0,Activity,,0,0,,,,,,5,2023-07-21T09:30:25.415Z,
0.01,,,0,0,,,,,,6,2023-07-21T09:30:41.525Z,
0.02,,,0,0,,,,,,7,2023-07-21T09:30:54.234Z,
0.03,,,0,0,,,,,,8,2023-07-21T09:31:07.494Z,
0.04,,,0,0,,,,,,9,2023-07-21T09:31:20.356Z,
0.05,,,0,0,,,,,,,,
0.06,,,0,0,,,,,,,,
0.07,,,0,0,,,,,,,,
0.08,,,0,0,,,,,,,,
0.09,,,0,0,,,,,,,,
0.1,,,0,0,,,,,,,,
0.11,,,0,0,,,,,,,,
0.12,,,0,0,,,,,,,,
0.13,,,0,0,,,,,,,,
0.14,,,0,0,,,,,,,,
0.15,,,0,0,,,,,,,,
0.16,,,0,0,,,,,,,,
0.17,,,0,0,,,,,,,,
0.18,,,0,0,,,,,,,,
0.19,,,0,0,,,,,,,,
0.2,,,0,0,,,,,,,,
0.21,,,0,0,,,,,,,,
0.22,,,0,0,,,,,,,,
0.23,,,0,0,,,,,,,,
0.24,,,0,0,,,,,,,,
0.25,,,0,0,,,,,,,,
0.26,,,0,0,,,,,,,,
0.27,,,0,0,,,,,,,,
0.28,,,0,0,,,,,,,,
0.29,,,0,0,,,,,,,,
0.3,,,0,0,,,,,,,,
0.31,,,0,0,,,,,,,,
0.32,,,0,0,,,,,,,,
0.33,,,0,0,,,,,,,,
0.34,,,0,0,,,,,,,,
0.35,,,0,0,,,,,,,,
0.36,,,0,0,,,,,,,,
0.37,,,0,0,,,,,,,,
0.38,,,0,0,,,,,,,,
0.39,,,0,0,,,,,,,,
0.4,,,0,0,,,,,,,,
0.41,,,0,0,,,,,,,,
0.42,,,0,8.518990781,,,,,,,,
0.43,,,0,8.857041164,,,,,,,,
