
Model Outputs
100
,,Hoang Trung Hieu lower pig:LAbsAnkleAngle,,,Hoang Trung Hieu lower pig:LAnkleAngles,,,Hoang Trung Hieu lower pig:LAnkleForce,,,Hoang Trung Hieu lower pig:LAnkleMoment,,,Hoang Trung Hieu lower pig:LAnklePower,,,Hoang Trung Hieu lower pig:LFE,,,,,,,,,Hoang Trung Hieu lower pig:LFO,,,,,,,,,Hoang Trung Hieu lower pig:LFootProgressAngles,,,Hoang Trung Hieu lower pig:LHipAngles,,,Hoang Trung Hieu lower pig:LHipForce,,,Hoang Trung Hieu lower pig:LHipMoment,,,Hoang Trung Hieu lower pig:LHipPower,,,Hoang Trung Hieu lower pig:LKneeAngles,,,Hoang Trung Hieu lower pig:LKneeForce,,,Hoang Trung Hieu lower pig:LKneeMoment,,,Hoang Trung Hieu lower pig:LKneePower,,,Hoang Trung Hieu lower pig:LPelvisAngles,,,Hoang Trung Hieu lower pig:LTI,,,,,,,,,Hoang Trung Hieu lower pig:LTO,,,,,,,,,Hoang Trung Hieu lower pig:PEL,,,,,,,,,Hoang Trung Hieu lower pig:RAbsAnkleAngle,,,Hoang Trung Hieu lower pig:RAnkleAngles,,,Hoang Trung Hieu lower pig:RAnkleForce,,,Hoang Trung Hieu lower pig:RAnkleMoment,,,Hoang Trung Hieu lower pig:RAnklePower,,,Hoang Trung Hieu lower pig:RFE,,,,,,,,,Hoang Trung Hieu lower pig:RFO,,,,,,,,,Hoang Trung Hieu lower pig:RFootProgressAngles,,,Hoang Trung Hieu lower pig:RHipAngles,,,Hoang Trung Hieu lower pig:RHipForce,,,Hoang Trung Hieu lower pig:RHipMoment,,,Hoang Trung Hieu lower pig:RHipPower,,,Hoang Trung Hieu lower pig:RKneeAngles,,,Hoang Trung Hieu lower pig:RKneeForce,,,Hoang Trung Hieu lower pig:RKneeMoment,,,Hoang Trung Hieu lower pig:RKneePower,,,Hoang Trung Hieu lower pig:RPelvisAngles,,,Hoang Trung Hieu lower pig:RTI,,,,,,,,,Hoang Trung Hieu lower pig:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,16.6553,0,0,16.8854,2.63007,-9.33367,,,,,,,,,,-3.84734,-18.5369,-15.7007,1336.4,519.879,434.844,401.423,401.423,401.423,21.7504,-81.885,20.9051,1292.76,526.162,44.7812,166.935,166.935,166.935,-83.3684,1.07095,-27.5823,35.2827,7.623,11.9058,,,,,,,,,,36.8619,12.6337,-32.4339,,,,,,,,,,17.041,2.81617,1.61018,-5.17392,22.1329,17.9666,1194.58,461.829,67.337,374.177,374.177,374.177,21.7504,-81.8849,20.9051,1341.75,551.927,39.0854,55.6449,55.6449,55.6448,2.55583,17.0761,-2.01679,1211.51,500.41,812.239,126.456,126.456,126.456,-1.46164,0,0,-1.67777,6.2084,-29.4002,,,,,,,,,,-3.81051,4.93432,23.1124,1179.56,403.239,395.561,416.661,416.661,416.661,-37.2888,5.74593,-2.9533,798.463,385.47,306.036,160.43,160.43,160.43,7.86929,5.70267,-37.0147,13.2563,-7.0639,25.1879,,,,,,,,,,84.941,32.522,-5.75481,,,,,,,,,,17.041,-2.81617,-1.61018,0.718614,89.2482,-13.8754,821.466,461.517,388.996,338.868,338.868,338.868,-37.2888,5.74595,-2.95331,792.617,353.276,263.738,53.4768,53.4767,53.4767
2,0,18.6203,0,0,18.9378,2.77379,-10.3165,,,,,,,,,,-3.79938,-16.4968,-15.1432,1322.53,522.506,427.926,398.973,398.973,398.973,21.962,-82.5085,21.2738,1271.21,526.489,44.1368,166.935,166.935,166.935,-84.0597,1.02356,-27.9174,31.0221,7.24281,11.51,,,,,,,,,,36.0929,12.9296,-30.988,,,,,,,,,,14.7901,2.67551,1.78971,-5.60958,23.4245,17.1941,1173.14,461.564,65.458,372.755,372.755,372.755,21.9621,-82.5084,21.2737,1320.11,552.542,39.0482,55.6449,55.6449,55.6448,2.4295,14.828,-2.12477,1211.43,500.13,807.363,126.456,126.456,126.456,-1.21358,0,0,-1.37061,5.8766,-27.6944,,,,,,,,,,-4.52746,2.01892,21.2204,1200.48,402.233,390.534,416.019,416.019,416.019,-36.4048,6.02353,-2.22102,816.279,380.869,306.973,160.43,160.43,160.43,7.82345,4.85979,-36.1742,13.9303,-6.96617,23.5734,,,,,,,,,,89.5861,29.6783,-4.47119,,,,,,,,,,14.7901,-2.67551,-1.78971,-0.586394,90.3574,-13.8146,839.216,455.792,390.969,341.21,341.21,341.21,-36.4048,6.0235,-2.22101,810.403,349.305,264.207,53.4767,53.4767,53.4767
3,0,20.1797,0,0,20.5742,2.87404,-10.9984,,,,,,,,,,-3.68949,-14.5391,-15.0747,1307.31,524.671,422.277,399.187,399.187,399.187,22.1232,-82.9326,21.5467,1249.45,526.935,43.7391,166.935,166.935,166.935,-84.5339,0.992251,-28.1698,29.0017,6.80138,11.6129,,,,,,,,,,35.1548,13.3628,-30.2224,,,,,,,,,,14.724,2.51448,1.8797,-5.92657,24.5344,16.6632,1151.5,461.565,64.2146,371.56,371.56,371.56,22.1233,-82.9326,21.5466,1298.28,553.204,39.0664,55.6449,55.6449,55.6449,2.25895,14.7616,-2.19215,1208.96,499.83,805.787,126.456,126.456,126.456,-0.853561,0,0,-0.9508,5.58229,-26.1346,,,,,,,,,,-5.17177,-0.951648,20.5975,1219.72,401.111,387.972,417.398,417.398,417.398,-35.5999,5.58716,-1.79872,834.87,376.548,305.852,160.43,160.43,160.43,7.09347,4.12839,-35.4221,16.8788,-6.75791,23.2277,,,,,,,,,,93.3675,28.1719,-3.67906,,,,,,,,,,14.724,-2.51448,-1.8797,-1.68945,90.755,-13.7808,856.723,450.447,391.034,342.346,342.346,342.346,-35.5999,5.58723,-1.79872,829.489,345.553,262.607,53.4768,53.4767,53.4767
4,0,21.3625,0,0,21.8062,2.91855,-11.3001,,,,,,,,,,-3.68876,-12.4916,-14.9152,1291.38,526.223,418.234,399.188,399.188,399.188,22.321,-83.1364,21.6379,1227.59,527.543,43.5382,166.935,166.935,166.935,-84.7971,0.864574,-28.3473,26.9705,6.36772,11.6248,,,,,,,,,,34.0569,13.4706,-29.8176,,,,,,,,,,14.7435,2.27332,1.98268,-6.04529,25.5119,16.4834,1129.76,461.844,63.5203,371.08,371.081,371.08,22.321,-83.1364,21.638,1276.36,553.964,39.0972,55.6449,55.6449,55.6449,2.00551,14.7794,-2.26392,1206.63,499.49,805.343,126.456,126.456,126.456,-0.431043,0,0,-0.474631,5.32736,-24.7485,,,,,,,,,,-5.72107,-3.81699,20.1761,1238.4,400.362,387.844,418.613,418.613,418.613,-34.8518,4.47324,-1.55493,854.237,372.556,302.713,160.43,160.43,160.43,5.67456,3.38156,-34.7337,19.7923,-6.40646,23.0489,,,,,,,,,,96.1889,26.911,-3.24051,,,,,,,,,,14.7435,-2.27332,-1.98268,-2.6206,90.4623,-13.6728,873.927,445.521,389.218,343.264,343.264,343.264,-34.8518,4.47324,-1.55493,849.892,342.087,258.981,53.4768,53.4767,53.4767
5,0,22.1246,0,0,22.5816,2.91104,-11.2493,-0.180341,0.0214103,-0.00448255,-2.85113,6.34023e-15,-1.40857,0,0,0.00272724,-3.78199,-10.3544,-14.6774,1274.78,527.207,415.796,399.04,399.04,399.04,22.5538,-83.0651,21.5318,1205.64,528.283,43.5042,166.935,166.935,166.935,-84.7905,0.647266,-28.4427,24.9289,5.93325,11.5532,0.449381,-0.507998,3.39509,22.872,-210.744,-4.00712,0,0,0.056557,32.7932,13.2824,-29.7559,-0.693971,-0.0551108,1.00637,-79.8306,19.5718,-1.22465,0,0,-0.187813,14.8482,1.95425,2.09995,-5.96965,26.3603,16.6308,1107.94,462.383,63.4453,371.21,371.21,371.21,22.5538,-83.0651,21.5318,1254.36,554.786,39.0616,55.6449,55.6449,55.6449,1.67103,14.8809,-2.34123,1204.45,499.108,806.025,126.456,126.456,126.456,0.0442279,0,0,0.0482436,5.11075,-23.5454,-0.0869486,0.112677,0.0539195,-23.5126,-3.49806e-15,-6.77668,0,0,0.0370844,-6.19566,-6.57346,19.9754,1256.45,399.973,390.067,419.62,419.62,419.62,-34.1687,2.70615,-1.4774,874.424,368.92,297.633,160.43,160.43,160.43,3.59526,2.62633,-34.1086,22.6696,-5.92046,23.0408,0.126076,0.0661586,3.18231,-87.4327,-49.8729,60.774,0,0,0.386041,98.1262,25.9624,-3.06069,-0.591109,0.126078,-0.159982,133.771,-76.1111,-8.8366,0,0,-0.416528,14.8482,-1.95425,-2.09995,-3.36975,89.5013,-13.5063,890.876,441.039,385.512,343.898,343.898,343.898,-34.1687,2.70615,-1.47738,871.647,338.932,253.443,53.4768,53.4767,53.4767
6,0,22.3891,0,0,22.8209,2.855,-10.8691,-0.181212,0.0124075,0.00495093,0.31045,-3.00614e-15,-2.44669,0,0,0.00234213,-3.94809,-8.13195,-14.3836,1257.59,527.705,414.964,398.802,398.802,398.802,22.7938,-82.6304,21.2316,1183.65,529.116,43.5821,166.935,166.935,166.935,-84.4103,0.386586,-28.4463,22.8814,5.48572,11.4139,0.354643,-0.449017,3.46651,34.3601,-190.307,-1.87055,0,0,0.0911122,31.3616,12.8467,-30.0144,-0.659772,-0.0385847,1.05812,-80.771,14.1668,-2.2697,0,0,-0.217449,15.0376,1.56101,2.23378,-5.71603,27.0843,17.0749,1086.1,463.165,64.1196,371.81,371.81,371.81,22.7938,-82.6304,21.2316,1232.34,555.621,38.8164,55.6449,55.6449,55.645,1.25874,15.0652,-2.42566,1202.41,498.68,807.816,126.456,126.456,126.456,0.562901,0,0,0.609493,4.93413,-22.5476,-0.0909151,0.104687,0.0364613,-22.5447,-1.74903e-15,-5.06072,0,0,0.031334,-6.61585,-9.21225,20.0127,1273.74,399.921,394.516,420.403,420.403,420.403,-33.5654,0.317909,-1.55707,895.478,365.668,290.757,160.43,160.43,160.43,0.891806,1.87207,-33.5553,25.5041,-5.31137,23.2092,0.0998829,0.0588165,3.13938,-41.0741,-58.4148,61.2847,0,0,0.139666,99.2381,25.3727,-3.06643,-0.581109,0.128141,-0.163528,118.864,-76.1009,-6.89081,0,0,-0.185967,15.0376,-1.56101,-2.23378,-3.92552,87.9003,-13.2902,907.645,437.047,379.93,344.267,344.267,344.267,-33.5654,0.317939,-1.55713,894.784,336.109,246.198,53.4768,53.4767,53.4767
7,0,22.0553,0,0,22.4267,2.75318,-10.1759,-0.1816,0.00289501,0.0179303,3.6144,5.68434e-15,-3.32046,0,0,0.00990957,-4.16097,-5.83446,-14.0627,1239.94,527.838,415.734,398.524,398.524,398.524,22.988,-81.7203,20.7611,1161.7,529.995,43.6932,166.935,166.935,166.935,-83.5191,0.164949,-28.3465,20.8376,5.00972,11.2271,0.396176,-0.333423,3.44327,-1.97809,-142.124,0.50544,0,0,-0.0423458,29.7669,12.2276,-30.5657,-0.587866,-0.0219884,1.13059,-74.2797,7.31114,-3.15938,0,0,-0.223401,15.3094,1.09943,2.38707,-5.31144,27.6908,17.7815,1064.39,464.18,65.7146,372.716,372.716,372.716,22.9879,-81.7205,20.7612,1210.36,556.415,38.1655,55.6449,55.6449,55.645,0.773835,15.3296,-2.51966,1200.53,498.203,810.687,126.456,126.456,126.456,1.11329,0,0,1.19899,4.80201,-21.7915,-0.0958013,0.0941194,0.014061,-21.2605,1.74903e-15,-2.94181,0,0,0.0251333,-7.00098,-11.718,20.3008,1290.15,400.174,401.012,420.967,420.967,420.967,-33.0637,-2.64638,-1.78911,917.443,362.832,282.301,160.43,160.43,160.43,-2.38634,1.13177,-33.0919,28.2815,-4.59354,23.5592,0.158973,0.0452469,2.97403,-22.3599,-70.1048,65.3763,0,0,0.022763,99.569,25.1731,-3.20614,-0.572611,0.13962,-0.146873,99.5219,-78.7353,-4.54757,0,0,0.00398967,15.3094,-1.09943,-2.38707,-4.2742,85.6957,-13.0261,924.339,433.601,372.516,344.441,344.441,344.441,-33.0637,-2.6464,-1.78911,919.308,333.634,237.537,53.4767,53.4767,53.4767
8,0,21.0169,0,0,21.3027,2.60734,-9.17773,-0.18235,-0.00468357,0.0303743,6.26912,9.12774e-15,-3.62669,0,0,0.0240692,-4.39145,-3.4787,-13.745,1221.98,527.76,418.085,398.25,398.25,398.25,23.0641,-80.2212,20.1668,1139.88,530.878,43.7469,166.935,166.935,166.935,-81.9721,0.0901097,-28.1309,18.8115,4.48798,11.0126,0.430988,-0.201623,3.41681,-47.8312,-80.336,1.70941,0,0,-0.198577,28.0218,11.4974,-31.3796,-0.487197,0.000121751,1.1985,-62.2591,2.34675,-3.48213,0,0,-0.203581,15.6597,0.577431,2.56316,-4.78918,28.1889,18.716,1042.96,465.424,68.407,373.755,373.755,373.755,23.064,-80.2212,20.1668,1188.47,557.114,36.8938,55.6449,55.6449,55.6449,0.223466,15.6698,-2.62607,1198.82,497.666,814.592,126.456,126.456,126.456,1.6797,0,0,1.80315,4.72068,-21.322,-0.103168,0.0816771,-0.00995894,-19.9135,-3.49806e-15,-0.770782,0,0,0.0197141,-7.36801,-14.0691,20.8435,1305.5,400.685,409.316,421.332,421.332,421.332,-32.6885,-6.12692,-2.17461,940.349,360.435,272.533,160.43,160.43,160.43,-6.17538,0.422074,-32.7422,30.9797,-3.78375,24.0914,0.134888,0.0453073,2.8151,19.1634,-88.2116,67.8828,0,0,-0.205831,99.1509,25.378,-3.45215,-0.559772,0.144617,-0.131605,78.5671,-79.0581,-2.17949,0,0,0.144264,15.6597,-0.577431,-2.56316,-4.40243,82.9332,-12.7079,941.103,430.766,363.35,344.512,344.512,344.512,-32.6885,-6.12688,-2.17464,945.187,331.512,227.814,53.4768,53.4768,53.4767
9,0,19.1867,0,0,19.3767,2.41834,-7.8757,-0.183529,-0.00811838,0.0400332,7.63243,3.22477e-15,-3.05423,0,0,0.0384828,-4.60988,-1.08844,-13.4546,1203.95,527.64,421.962,398.016,398.016,398.016,22.9415,-78.0442,19.5165,1118.28,531.731,43.6591,166.935,166.935,166.935,-79.6508,0.278363,-27.7851,16.8222,3.90389,10.7829,0.521035,-0.0480778,3.32975,-115.214,-5.13135,1.79514,0,0,-0.404785,26.1496,10.7263,-32.4247,-0.354327,0.0203424,1.25227,-43.5722,-0.487811,-2.92739,0,0,-0.149961,16.0823,0.00511889,2.76526,-4.18243,28.5888,19.8486,1022.04,466.91,72.3333,374.77,374.77,374.77,22.9415,-78.0442,19.5165,1166.71,557.67,34.8152,55.6449,55.6449,55.6449,-0.383011,16.0793,-2.74779,1197.27,497.062,819.464,126.456,126.456,126.456,2.24284,0,0,2.40539,4.69612,-21.1796,-0.113293,0.068914,-0.0325535,-18.708,-0,1.07124,0,0,0.0158384,-7.72933,-16.2393,21.6321,1319.59,401.405,419.135,421.522,421.522,421.522,-32.4581,-10.0522,-2.72109,964.205,358.5,261.749,160.43,160.43,160.43,-10.401,-0.238277,-32.528,33.5692,-2.90038,24.7983,0.104869,0.0486791,2.60649,63.0226,-109.912,69.0173,0,0,-0.431128,98.0039,25.9799,-3.80423,-0.541285,0.147476,-0.107428,58.1059,-77.5879,-0.179538,0,0,0.231238,16.0823,-0.00511889,-2.76526,-4.3022,79.6659,-12.323,958.111,428.594,352.547,344.566,344.566,344.566,-32.4581,-10.0522,-2.72115,972.345,329.745,217.402,53.4767,53.4767,53.4768
